id,cedula,carnet,title,edad,direccion,telefono,cargaFam,description,updated_at,created_at,kind_id,user_id,asigned_id,project_id,category_id,priority_id,status_id
1,0,22220,Jaime Mora 1,0,11111111,11111,2,Esto es una prueba luego de agregar campos adicionales 111111,2017-07-14 12:41:36,2017-07-13 18:08:38,1,1,NULL,1,1,3,1
2,1234565,324321,Jaime Mora 2,46,Avenida Aguerrevere casa sin nÃºmero diagonal a XX,4160000101,5,Prueba del sistema,2017-07-17 00:13:35,2017-07-15 20:38:08,7,1,2,2,10,1,3
3,0,0,Jaime Mora 3,0,,,0,Solicitud del compaÃ±ero,NULL,2017-07-16 19:58:54,1,1,NULL,3,33,1,1
4,999,0,Jaime Mora 4,0,,,0,Casa de alimentaciÃ³n,NULL,2017-07-16 21:20:57,1,1,NULL,3,34,1,1
5,20202,20202,Jaime Mora 5,0,,,0,Prueba Prueba Prueba Prueba Prueba Prueba Prueba Prueba Prueba ,NULL,2017-07-16 21:30:21,1,1,NULL,3,33,1,1
6,30303,30303,Jaime Mora 6,21,Av. Aguerrevere. Edificio Michel. Piso 2. Pto. Aya,4160000101,4,Prueba Prueba Prueba Prueba Prueba Prueba Prueba Prueba ,2017-07-17 00:14:35,2017-07-16 21:41:11,1,1,14,3,33,1,2
7,90909,909087,Jaime Mora 7,24,Av. Aguerrevere. Edificio Michel. Piso 2. Pto. Aya,4120461205,1,Prueba Prueba Prueba Prueba Prueba Prueba Prueba Prueba Prueba ,2017-07-16 22:11:18,2017-07-16 21:43:17,2,1,NULL,1,35,1,1
8,10090090,12345678,Jaime Mora 8,35,Av. Aguerrevere. Edificio Michel. Piso 2. Pto. Aya,4120461205,8,Probando solicitud en sistema,2017-07-17 00:14:00,2017-07-16 22:53:28,1,1,14,14,34,1,2
9,10919191,56432,Jaime Mora 9,48,Av. Aguerrevere. Edificio Michel. Piso 2. Pto. Aya,4160000101,5,Prueba actualizando el campo asignado a...,2017-07-17 00:14:09,2017-07-16 23:01:34,2,1,14,1,35,1,2
10,1212120,4635223,Jaime Mora 10,27,Av. Aguerrevere. Edificio Michel. Piso 2. Pto. Aya,4160000101,4,Prueba del campo carga familiar en la inclusiÃ³n,2017-07-16 23:49:00,2017-07-16 23:43:36,1,1,14,2,33,1,1
11,55555,333330,Jaime Mora 11,100,222222222,22222,5,Esto es una prueba luego de agregar campos adicionales 22222222,2017-07-14 12:41:36,2017-07-13 18:08:38,1,1,NULL,1,1,3,1
